id,cashtags,conversation_id,created_at,date,geo,hashtags,language,likes_count,link,mentions,name,near,photos,place,prediction,proba_0,proba_1,quote_url,replies_count,reply_to,retweet,retweet_date,retweet_id,retweets_count,source,thumbnail,time,timezone,trans_dest,trans_src,translate,tweet,urls,user_id,user_rt,user_rt_id,username,video
1517877454374907907,[],1517864142140497921,2022-04-23 17:46:00 Türkiye Standart Saati,2022-04-23,,[],tr,0,https://twitter.com/jarfi35/status/1517877454374907907,[],UMT.,,[],,0.0,0.9457468066197604,0.0542531933802397,,0,"[{'screen_name': 'TurkTelekom', 'name': 'Türk Telekom', 'id': '403774702'}]",False,,,0,,,17:46:00,300,,,,"@TurkTelekom Demek türk değil , Arap telekom u olup ve Araplara ucuz paket satıyorsunuz ben ve çevrem dahil bugünden itibaren bu yaptığınız terbiyesizliği anlatıp operatörü değiştirip Turkcell e geçiyorum",[],180418317,,,jarfi35,0
1517877948447084544,[],1517745087693955072,2022-04-23 17:47:58 Türkiye Standart Saati,2022-04-23,,[],es,0,https://twitter.com/rtguler/status/1517877948447084544,[],arigatou,,[],,0.0,0.8368094470851735,0.1631905529148267,,0,"[{'screen_name': 'gokayadan', 'name': 'Gokay Adan', 'id': '885143822665121793'}, {'screen_name': 'AkpCocuklari', 'name': 'AKP Çocukları', 'id': '1114971080282836993'}, {'screen_name': 'Turkcell', 'name': 'TURKCELL', 'id': '8382282'}, {'screen_name': 'VodafoneTR', 'name': 'Vodafone Türkiye', 'id': '18285621'}, {'screen_name': 'TurkTelekom', 'name': 'Türk Telekom', 'id': '403774702'}]",False,,,0,,,17:47:58,300,,,,@gokayadan @AkpCocuklari @Turkcell @VodafoneTR @TurkTelekom Vay cahil vay,[],929343398,,,rtguler,0
1517878090784985091,[],1517878090784985091,2022-04-23 17:48:32 Türkiye Standart Saati,2022-04-23,,[],tr,0,https://twitter.com/ilkseocu/status/1517878090784985091,[],News🌍,,[],,0.0,0.8065043148452659,0.1934956851547342,,0,[],False,,,0,,,17:48:32,300,,,,Kenan Doğulu’dan Şiddetli PSM Turkcell Sahnesi’nde müzik şöleni  https://t.co/4pxQica8Vm,['https://koinbonus.com/kenan-doguludan-siddetli-psm-turkcell-sahnesinde-muzik-soleni.html'],1449670863519952896,,,ilkseocu,0
1517878299090989057,[],1517745087693955072,2022-04-23 17:49:21 Türkiye Standart Saati,2022-04-23,,[],tr,0,https://twitter.com/rtguler/status/1517878299090989057,[],arigatou,,[],,0.0,0.9983557598296656,0.0016442401703344,,0,"[{'screen_name': 'AkpCocuklari', 'name': 'AKP Çocukları', 'id': '1114971080282836993'}, {'screen_name': 'Turkcell', 'name': 'TURKCELL', 'id': '8382282'}, {'screen_name': 'VodafoneTR', 'name': 'Vodafone Türkiye', 'id': '18285621'}, {'screen_name': 'TurkTelekom', 'name': 'Türk Telekom', 'id': '403774702'}]",False,,,0,,,17:49:21,300,,,,@AkpCocuklari @Turkcell @VodafoneTR @TurkTelekom 45 gün bokunu çıkarmak fakat hem süre kısa tutulabilir hemde işlem ücreti kesilmeyebilir. Sonuçta muhattabınız hayır kurumu değil.,[],929343398,,,rtguler,0
1517878490191876097,[],1517864142140497921,2022-04-23 17:50:07 Türkiye Standart Saati,2022-04-23,,[],tr,1,https://twitter.com/trkrdln/status/1517878490191876097,"[{'screen_name': 'turkcell', 'name': 'turkcell', 'id': '8382282'}]",🍁TARIK,,[],,0.0,0.5153705432247658,0.484629456775234,,0,"[{'screen_name': 'TurkTelekom', 'name': 'Türk Telekom', 'id': '403774702'}]",False,,,0,,,17:50:07,300,,,,"@TurkTelekom Tek gerçek @Turkcell , Ne vodafone nede TürkTelekom pardon ArabıcTELEKOM 😂😂😂",[],1435491466168705025,,,trkrdln,0
1517878801136775168,[],1517843781634166785,2022-04-23 17:51:21 Türkiye Standart Saati,2022-04-23,,[],tr,0,https://twitter.com/cr_27h/status/1517878801136775168,[],C. D.,,[],,0.0,0.8939098269745894,0.1060901730254106,,0,"[{'screen_name': '_erdeem_', 'name': 'Erdem 🌾🌾', 'id': '780074160391356421'}]",False,,,0,,,17:51:21,300,,,,@_erdeem_ Turkcell e geçin aq Vodafone na geçin,[],1439237107265032194,,,cr_27h,0
1517879376116867072,[],1517823861680705536,2022-04-23 17:53:38 Türkiye Standart Saati,2022-04-23,,[],tr,0,https://twitter.com/erksev/status/1517879376116867072,[],HellNite,,[],,0.0,0.9973967508755012,0.0026032491244988,,0,"[{'screen_name': 'jahreindota', 'name': 'Jahrein ⚙️', 'id': '2589399024'}, {'screen_name': 'TurkTelekom', 'name': 'Türk Telekom', 'id': '403774702'}]",False,,,0,,,17:53:38,300,,,,@jahreindota @TurkTelekom Sitenizde gözüken hiçbir paket size tanımlı değil diyerek turkcell e zorla gönderen tuhaf gsm şirketi,[],2457809990,,,erksev,0
1517880227401281536,[],1517829485399359488,2022-04-23 17:57:01 Türkiye Standart Saati,2022-04-23,,[],tr,0,https://twitter.com/Cagatark1903/status/1517880227401281536,[],Çağatay Arık.Evox🇹🇷,,[],,0.0,0.8561072420956182,0.1438927579043817,,0,"[{'screen_name': 'incisozluk', 'name': 'İnci Sözlük', 'id': '1849311626'}]",False,,,0,,,17:57:01,300,,,,"@incisozluk Türk telekomdan telefon kılıfı bile almadım bugüne kadar almam da. sadece isimleri Türk , gidip 30 fazla verip Vodafone Turkcell almak bana daha mantıklı geliyor.",[],596474554,,,cagatark1903,0
1517880815752986627,[],1517823861680705536,2022-04-23 17:59:21 Türkiye Standart Saati,2022-04-23,,[],tr,0,https://twitter.com/Ksmdmrci/status/1517880815752986627,[],K.D,,[],,0.0,0.6346180849259199,0.3653819150740802,,0,"[{'screen_name': 'jahreindota', 'name': 'Jahrein ⚙️', 'id': '2589399024'}, {'screen_name': 'TurkTelekom', 'name': 'Türk Telekom', 'id': '403774702'}]",False,,,0,,,17:59:21,300,,,,@jahreindota @TurkTelekom Hepiniz Turkcell’e geçin. Herkese aynı tarifeyi sunuyor hem kaliteli hemde müşteri temsilcileri kesin çözüm buluyor,[],735200214085144580,,,ksmdmrci,0
1517880909193793538,[],1517823861680705536,2022-04-23 17:59:44 Türkiye Standart Saati,2022-04-23,,[],tr,1,https://twitter.com/ege01s/status/1517880909193793538,[],ege,,[],,1.0,0.0163349176116735,0.9836650823883264,,0,"[{'screen_name': 'Gorkembulut00', 'name': 'Görkem', 'id': '1395765197596471303'}, {'screen_name': 'jahreindota', 'name': 'Jahrein ⚙️', 'id': '2589399024'}, {'screen_name': 'purplebixi', 'name': 'Bahadır Telci', 'id': '858318363432554496'}, {'screen_name': 'TurkTelekom', 'name': 'Türk Telekom', 'id': '403774702'}]",False,,,0,,,17:59:44,300,,,,@Gorkembulut00 @jahreindota @purplebixi @TurkTelekom Geçersen Turkcell'e geç.Hızı-çekim gücü gayet iyi,[],1439337561244241923,,,ege01s,0
